,author,date,product_id,product_name,firm,rate,text,topic
540,Aleksey,15.2.17,BAS0000998-001, ,J & D,5,"За эти деньги просто шикарный бас. За счет ясеня и звучка ММ, звук мощный и очень читаемый. Есть с чем сравнить, имею 3 баса, в том числе и кастом. И этот бас стоит каждого потраченного цента на 100% !",Good bass
541,Ann,29.4.19,SYN0006410-000,NEUTRON,Behringer,5,Очень интересен в изучении и звук  достаточно жирный.,Отличный синт 
542,Eugene Dovganich,13.3.20,SYN0006410-000,NEUTRON,Behringer,5,"Neutron is versatile machine for sound design, that gives a lot for little investments.Sound and build quality are the strong points of this instrument. Complex enough to investigate its limits for months!There is a con, that make workflow a bit annoying. Neutron's default routing: signal path automatically goes thru overdrive and you must spend some amount of patch points to disable overdrive, instead of being able to patch it manually when it's needed. The same is for delay,But after all, I think, this synth is awesome piece of gear, that I would recommend to try to everyone!",Good starting point in modular synths
543,Evgeny,7.5.20,SYN0006410-000,NEUTRON,Behringer,5,"It is very original synth and you definitely will like it if your goal is experimenting with modulations and not getting classic lush analog sounds. The filter got some clipping, Distortion circuit slightly limits frequency range, but it's totally fine, just an unusual character. Patchbay is not perfectly normalized, but it gets the job done.The main drawback is digital LFO that starts to generate all sorts of digital noise as you increase frequency past 1kHz. However, alternate open firmware can easily fix that issue and even add third oscillator mode to LFO and few other cool features.",fun and original synth. 
544,Selfdika,18.11.19,SYN0006410-000,NEUTRON,Behringer,5,"Очень интересный и жирный синт, нравится абсолютно все, начиная от осциллятров, заканчивая шикарной матрицей модуляции. Для жирного баса и крутых секвенций самое то!",Любителям смелых экспериментов 
545,Georgiy Ryzhov,13.11.19,SYN0006410-000,NEUTRON,Behringer,5,"Its worth of your every cent, thats all you need to know about this one. Many features, great quality, amazing sound. You literally cant find a better synth for the cost that low!",The best synth for its price
546,Nikolay,15.1.20,REC0009288-000,Mic Reflexion Screen Premium ,Fame Audio,5,"Отличный экран, увесистый",Отличный экран
547,Egor ekimov,14.6.20,REC0009288-000,Mic Reflexion Screen Premium ,Fame Audio,5,Nice,Nice
548,Sergey,7.10.21,REC0009288-000,Mic Reflexion Screen Premium ,Fame Audio,5,очень все качественно и быстро доставлено,очень все качественно и быстро доставлено
549,Lika,26.7.17,REC0009288-000,Mic Reflexion Screen Premium ,Fame Audio,5,"Экран очень понравился. Высокое качество изготовления. Свою функцию выполняет на все 100%! Очень рекомендую. Единственный маленький минус в том, что он очень тяжелый и моя стойка его не выдерживает, но эта проблема решается.",Отличное качество!
550,ALEH STOHAU,12.5.19,REC0009288-000,Mic Reflexion Screen Premium ,Fame Audio,5,Оправдал все ожидания!,Великолепно!
551,Ilya,25.7.19,GIT0019927-000,LTD EC-10 Black,ESP,4,"Guitar entry level, for musicians beginners to master this instrument. There are not enough stars from the sky, but it will allow to work out the technique of owning an instrument. The plus for me was that the bridge was Tune-o-Matic, not Floyd Rose, and therefore there were no problems with replacing the strings. Access to the upper frets is good, thanks to the signature cut a la Les Paul.",Good guitar for beginners
552,Ilya,25.2.18,GIT0025919-000,V-1 V-Style Guitar Case Black,Fame,5,"Жесткий кейс “Fame V1” для электрогитары “Flying-V” выглядит стильно и дорого! Снаружи кейс покрыт материалом похожим на эко-кожу. Выглядит красиво. Единственный минус - легко поцарапать. Толщина корпуса около 2-3 см. При этом кейс легкий! Внутри кейс покрыт плюшем темного цвета. Данное покрытие приятно на ощупь. Так же внутри находится отсек для размещения гитарного ремня, струн и других аксессуаров. Конструкция кейса позволяет надежно зафиксировать гитару, так что она не будет двигаться внутри при транспортировке. Покупал кейс для электрогитары “Gibson Flying-V”. На мой взгляд, кейс “Fame V1” представляет лучшее сочетание цены, качества и надежности! Владельцам гитар “Flying-V” советую к покупке!","Лучшее сочетание цены, качества и надежности! "
553,Ростислав,10.2.17,ACC0005376-000, ,MUSIC STORE,5,Простота исполнения никак не сказывается на качестве. Рекомендую.,Просто иногда может пригодиться
554,Екатерина,29.11.17,ACC0005376-000, ,MUSIC STORE,4,Нормальный рабочий кабель за отличную цену,Работает без нареканий
555,Andrey,13.3.17,ACC0005376-000, ,MUSIC STORE,5,Just a cable. Good for its price.,Good for its price
556,Fail,16.10.16,REC0005313-000,M-3 Condenser Microphone,Rode,5,"Идеальный микрофон для тех кому нужно постоянно перемещаться и иметь высокое качество записи! Нет необходимости в фантомном питании источника, поэтому можно записывать даже с телефона! Микрофон собран очень качественно, сборка проходит на родине фирмы в Австралии",Очень удобный
557,SteelTrueDrum,8.12.20,DRU0037565-000,"LV8018CH Low Volume China 18""",Zildjian,5,"Купил чайну вдобавок к комплекту Zildjian L80 Low Volume 468 Box Set и пластикам SilentStroke от REMO. По громкости они примерно идентичны. Тарелки дают четкий пинг, ощущения как при игре на настоящих тарелках. Можно играть и разговаривать. Пока соседи не жаловались.",Нужная вещь для тихих домашних занятий
558,eighthkeepa,23.5.19,ACC0002857-000, ,Cordial,5,"По аналогии с предыдущими кабелями, нравится практически все, кроме отсутствия усиления креплений части с jack-f. В остальном - кабели работают отлично, не шумят, проблем не возникает. ",Кабели Cordial Jack-XLR
559,Олег,27.11.21,GIT0040945-000,Paul Stanley PSM10-BK miKro Signature Black,Ibanez,5,"Был приятно удивлён. Звук жирный, мощная атака=) Хотя гитара была сделана явно для поклонников Kiss, но звучки огонь. Упаковка тоже класс! Думал придёт просто в треугольном коробе стандартном, а пришёл в двойной коробке с набитым паралоном и тд.  Отдельная благодарность за фирменный чехол в комплекте его не должно было быть, но кто-то подкинул=)))",Ibanez Paul Stanley PSM10-BK
560,Denis Kravtsov,30.9.19,ACC0000802-000, ,Neutrik,5,"Разъемы этой фирмы давно стали эталоном качества, удобные как в пользовании так и в пайке, крепкие и не портящие сигнал - идеальное дополнение к хорошему кабелю.",Отличные разъемы
561,Alisa Miller,12.5.16,ACC0000802-000, ,Neutrik,5,I have many cables with different plugs but only Neutrik plugs made it through years of intense usage. Highly recommended!,Very reliable
562,Tsm Event Sound,15.3.20,ACC0000802-000, ,Neutrik,5,"Видно что собран качественно.  Металл толстый,  добротный.  Паять нужно аккуратным паяльником т к. Контакты рядом. Цена для российского покупателя конечно дорого, 200 руб за штеккер,  но это про уровень , если мероприятия на сотни тыс.р. оно того стоит. ",Работает. Прочный. 
563,Nikita,11.2.21,ACC0000802-000, ,Neutrik,5,I solder my wires for the equipment myself.  this item is of excellent quality.  will serve me for many years,great product
564,Сеогей,4.4.18,PAH0004299-000,D 15-3 D-LITE Series Passive PA Speaker,Dynacord,5,Звук просто супер.Дошло довольно быстро около двух недель. Все в целости и сохранности .Сагазин очень рекомендую.Радует и цена общительные менеджеры,Акустическая система
565,zva82 ,27.2.20,REC0014110-000V000194987,RODECaster Pro Podcast Mixer,Rode,5,За эти деньги с таким функционалом не найдете другого прибора. Комбайн все в одном. Для подкастов где планируется запись более 2 лих это просто маст хев! ,Подкаст станция 
566,g.grigory@gmail.com,14.10.19,REC0014110-000V000194987,RODECaster Pro Podcast Mixer,Rode,5,"I'm just starting my podcast, this device seems excellent. Tested it and it works perfect, exactly as I expected. Bought Rode Procaster mics and Rode boom arms, all together is not cheap but definitely worth the money",Very good piece of equipment 
567,deniki4@gmail.com,28.6.21,ACC0000936-000,PAN 01 Passive DI Box MST Logo ,Palmer,5,"It does its job, and not add audible distortion to the sound. Great for it's price!",Bang for the buck!
568,Dmitry Nikulin,12.1.20,PAH0015141-000,POWERPLAY P1 In-Ear Monitor Amplifier,Behringer,5,"Купили этот прибор для нашего барабанщика (Milanholия). Несмотря на свои габариты, прибор не тяжелый, удобен в использовании. Даёт хорошее качество звука. Если не ошибаюсь, в нём нет лимитера, что было бы очень кстати. Рекомендую!",Мониторинг для барабанщика
569,Даниил,1.7.17,PAH0015141-000,POWERPLAY P1 In-Ear Monitor Amplifier,Behringer,5,"Вещь хорошая для музыкантов не двигающихся по сцене( барабанщики,клавишные и т.п.). Звук на уровне,используем ее для посыла музыкальной подложки барабанщику. Из минусов я бы назвал не удобное расположение крепления для поясного ремня относительно корпуса устройства, верхняя часть получается тяжелее и устройство отклоняется назад",Отзыв
570,Griwa,30.3.19,PAH0015141-000,POWERPLAY P1 In-Ear Monitor Amplifier,Behringer,5,Взял эту систему мониторнига для нашего барабанщика по рекомендации одного хорошего знакомого звукорежиссера. Система действительно очень хороша. Качественно сделана. Хорошо себя показывает.,Отличная система мониторнига для барабанщика
571,zelibobber,23.3.20,DRU0012261-000,Drum Throne 9608,Gibraltar,5,"Устал от дешёвых стульев, решил взять нестареющую классику и не прогадал. На других стульях постоянно проворачивается седло на штыре, как сильно не затягивай. На гибралтаре такой проблемы нет, седушка прикручивается насмерть. На самой большой высоте не шатается и вообще стоит монолитно. ",Лучший стул
572,Лебедев Алексей,20.11.17,DRU0012261-000,Drum Throne 9608,Gibraltar,5,"Стул действительно хорош. Никаких люфтов, сиденье удобное. Отличная система регулировки и фиксации высоты.",Хороший стул
573,zelibobber,5.3.20,DRU0012261-000,Drum Throne 9608,Gibraltar,5,"9608 уже стало нарицательным именем, как 5150 в гитарном мире, этот стул - эталон надёжности и удобства. Не шатается, не прокручивается, не разваливается",Заслуженный трудяга
574,глеб,4.1.19,DRU0012261-000,Drum Throne 9608,Gibraltar,5,отличный стул за свои деньги. пока люфта не заметил,отличный стул
575,Alexandr,5.8.17,DRU0012261-000,Drum Throne 9608,Gibraltar,5,заказывая его покупал кота в мешке но ни разу не пожалел. это мой первый стул на винте. доволен полностью. качество соответствует цене. дошёл без повреждений. почта России не подвела вопреки ожиданиям). ,хороший стульчик.
576,Алексей,15.10.19,REC0013109-000,InVision USM-L Studio Kit,Rycote,4,Подвес на пластиковых упругих элементов с поп фильтриком. Держит микрофон любого размера (4е зажима с плавающими упорами). Удобно. Надежно.,Rycote InVision USM-L Studio Kit
577,Калашник Виталий,30.11.19,PAH0014463-000,GLXD16E Z2,Shure,5,"Очень классная инструментальная радиосистема, купил я её для электроакустической гитары. Невероятно качественная передача сигнала без помех на большие расстояния. ", Shure GLXD16E Z2
578,Valery Steparyuk,6.5.16,BAS0003545-000, ,Fame,5,Good strings cheaper to not find. And the quality is quite satisfied .,Very Good Strings For Little Money.
579,Олег,16.7.17,BAS0003545-000, ,Fame,4,"Достаточно хорошие струны для такой низкой цены,","Fame Bass Strings,5er,45-130 round wound"
580,Stanislav Gagiev,18.2.16,GIT0012212-000,"Vintage 30 12"" Speaker 8 Ohm",Celestion,5,great sound and quality !!! great job musicstore!!!,the most versatile electric guitar speaker!
581,Валерий,29.4.17,GIT0012212-000,"Vintage 30 12"" Speaker 8 Ohm",Celestion,5,This is the best speaker for my Fender Greta amplifier and for Fender 65' Deluxe reverb. ,12' Celestion V30
582,Игорь,7.2.17,BLA0001076-000,Classic Tenor Sax Reeds 2.0 Box of 5,Vandoren,5,Качественные трости,Трости Vandoren Tenor Sax 2.5
583,Danis,6.4.20,SYN0004535-000,MIDI Thru 4 / Filter 4x MIDI Thru Box,Miditech,5,"Лучший вариант за свою цену. Использую для управления волькой и нескольких синтов с дигитакта. Все работает, никаких нареканий.",Незаменимая штука для синхронизации устройств
584,Andrey,13.3.17,SYN0004535-000,MIDI Thru 4 / Filter 4x MIDI Thru Box,Miditech,5,Used two weeks. Working fine. Good for its price. Just a THROU for 4 ports.,Working fine
585,Сергей Кавин,29.1.16,SYN0004535-000,MIDI Thru 4 / Filter 4x MIDI Thru Box,Miditech,5,"THRU excellent, with the possibility of easy modificationPerfect for its price",excellent
586,Olga,12.4.17,PAH0017970-000,Sat 20 Distance Rod Pneumatic M20,MUSIC STORE,5,"Отличные стойки, рекомендую всем!",Хорошие стойки.
587,Vitaliy ivanchenko,18.10.19,PAH0008860-000,HCMS-120B Microphone Stand low Round Socket short Boom,Hercules Stands,5,"Очень удобны для подзвучивания малого барабана, занимает крайне мало места! Крепежи в комплекте!",Удачная конструкция
588,Atrem Yatsunov,21.2.17,PCM0009213-000,LPK 25 Mini Keyboard,AKAI Professional,5,Buy the keyboard to transcribe music when I'm on a business trip and my guitar far away from me. For creating drum parts. This keyboard handles great. Keys feel the power of the press and make the right velocity. For a quick game with two hands 2 octaves is not enough. but 1 hand is enough.,little black keyboard
589,PANDA ,7.2.21,PCM0009213-000,LPK 25 Mini Keyboard,AKAI Professional,5,"Всё качественно, работает как часы с первого же подключения ",Отлично 
590,Алексей,8.1.21,PCM0009213-000,LPK 25 Mini Keyboard,AKAI Professional,4,"Для первой миди клавиатуры, чтобы наиграть мелодию сойдет. Единственный минус: клавиши туговаты, а так за такую цену всё отлично",Миди клавиатура
591,Владимир,6.5.20,PCM0009213-000,LPK 25 Mini Keyboard,AKAI Professional,5,Супер соотношение цены и качества. Для начинающих очень хорошо. ,Отличная клавиатура
592,Nikita,8.12.20,PCM0009213-000,LPK 25 Mini Keyboard,AKAI Professional,4,Чтобы наигрывать простенькие партии пойдет. Но чтобы играть и аккорды и мелодию данного продукта будет недостаточно.,хорошо
593,Eugene,2.3.20,DRU0027409-000,"Signature Precision Crash 16"" ",Paiste,5,"Все отлично))). Товар, цена, доставка. )))",Очень хорошо)))
594,Oleg,16.12.20,DJE0007124-000, ,Technics,4,"The quality actually goes down compared to 1210MK3 (have both). Those emotions are not connected with music-store shop, at all. Customer service is well done. It has been delivered to Russia and I have received it w/o any damages.",Technics SL-1210MK7
595,Павел,3.10.17,DRU0028371-000,ACME Custom Molded Earplugs ,Ahead Sticks,3,"Очень неудобные беруши, идея что они сами формируются по уху довольно интересная, но на деле толку от них нет, лучше купить грибки",Не советую
596,Dmitriy Lyashkov,11.8.16,ACC0000144-000,"JD-5010SI Mic-Stand Pick-Holder 7""",Dunlop,5,Всё устраивает!...и внешний вид тоже устраивает!,Оценка
597,Алексей,31.8.21,DRU0037799-000,Noiseless Cymbal Set-2 (Brilliant),Fame,5,"Скептически относился с бренду Fame, но сегодня был удивлен. Тарелки звучат очень интересно, теплый-песочный пинг в райде и одновременно жирный и короткий сустейн в крэшах.Тарелки откалиброваны, штамповка качественная.За свои деньги просто подарок.Советую",Удивлен
598,Dmitry Khapaev,23.10.17,PAH0010465-000,"microphone cable 2x 0,34 mm² 100m, Club Series MKII",Sommer Cable,5,Кабель брался для проката и оправдал ожидания на все 100%. Очень мягкий и надёжный. Хорошо паяется. Изоляция надёжная. Лучшее соотношение цена/качество.,Кабель для проката
599,Mihail,25.4.19,PAH0010465-000,"microphone cable 2x 0,34 mm² 100m, Club Series MKII",Sommer Cable,5,Хороший кабель. Мягкий. На морозе не так дубеет как тот же клотц. Цена адекватная.,Good cable
600, Alexander,3.2.21,PAH0010465-000,"microphone cable 2x 0,34 mm² 100m, Club Series MKII",Sommer Cable,5,"Здравствуйте, искал кабель Sommer по отличной цене, и только в этом магазине было то что нужно, купил 200 метров. Спасибо огромное, теперь наша студия обновится всю коммутацию! всем рекомендую!!! Доставка быстрая, уложился в таможенные рамки своей страны.","Отличный магазин, выгодные цены!"
601,Сергей,11.3.20,PAH0010465-000,"microphone cable 2x 0,34 mm² 100m, Club Series MKII",Sommer Cable,5,"Кабель мягкий ,первый раз встречаюсь с таким кабелем буду испытывать далее но на первый взгляд неплох",Мягкий кабель
602,zelibobber,4.12.19,PAH0010465-000,"microphone cable 2x 0,34 mm² 100m, Club Series MKII",Sommer Cable,5,"Это моя третья катушка 100 метровая этого кабеля. Эксплуатируется в клубе на живых концертах почти ежедневно на протяжении двух лет. Ни одного перебитого кабеля нет. Толстый, мягкий. Рекомендую",Дёшево и сердито
603,Sergei,22.3.19,GIT0009280-000, ,Gibson,5,I bought a Gibson 498T with excellent quality and sound. Sound from rock to blues. I advise!,Gibson 498T
604,Олег,10.11.19,PAH0020335-000,DI 22P,Klark Teknik,5,Удобный дибокс - три варианта шнуров на входе! По звуку всё хорошо.,DI 22P
605,Vladimir Koshelenko,5.5.19,PAH0020335-000,DI 22P,Klark Teknik,5,Thanks! All is great!,Great!
606,Dmitry,18.4.19,PAH0020335-000,DI 22P,Klark Teknik,5,"Звук хорош. Удобно, что можно хоть тюльпаны хоть джеки использовать.","Функционально, бюджетно."
607,Konstantin,28.2.21,DJE0006537-000, ,Zomo,5,"Удобно и компактно. Хотелось бы колесики для возможности катить, а не носить.",Все ок
608,Vitaly,19.4.17,PCM0014266-000,iRig HD 2,IK Multimedia,5,Интересный интерфейс. Большие возможности. Очень понравилась обратная связь с производителем девайса. Оперативные и вежливые сотрудники. Доволен покупкой.,Irig HD2
609,Anton,20.3.18,DRU0028833-000,Reflex Cymbal Set-1 (Silver),Fame,4,чтоб не убивать дорогие тарелки во время занятий - отличный вариант,отличный вариант для занятий
610,Andrew ,25.9.19,REC0013242-000,MR624,Mackie,5,очень доволен покупкой.звук оболденный . Буду заказывать  снова только тут),mackie mr624
611,Вероника,5.2.21,REC0013242-000,MR624,Mackie,5,"Мне очень понравился звук. Чистый звук, широкий и правдивый частотный диапазон.",Отличный товар
612,Кирилл,18.8.21,REC0013242-000,MR624,Mackie,5,В россии стоят в x2 раза дороже. Для такой цены отличное звучание.,Шикарные мониторы
613,Михаил,3.11.19,REC0014179-000,DR-40X Digital Audio Recorder,Tascam,5,"честный звук, удобен в просмотре (прослушивание) файловДоставка в Иркутск за две недели, выслали сразу за это спасибо M.S!",Отличный Девайс.
614,Natalya,30.10.21,REC0014179-000,DR-40X Digital Audio Recorder,Tascam,5,"Good plastic, lots of functions, a little noisy.",Excellent recorder.
615,Олег Сыроваткин .,29.2.20,DRU0037716-000,AP-40 Drum Monitor 40W,Fame,4,"Лучшее за эту цену , для электронных ударных. На акустику 40 w нехватит .",Цена качество 
616,Ivan Makin,18.2.19,GIT0044803-000,PA16XSG-DB Sand Grip Plectrums 1.2mm (Dark Blue),Ibanez,4,I hoped for standart-size picks. These are too small. ,Too Small
617,Sergey Romanov,19.9.16,ACC0001265-000, ,MUSIC STORE,5,По своей цене вполне отличное решение. ,Годный кабель
618,podzhigaii,18.3.20,ACC0001265-000, ,MUSIC STORE,5,"Я сначала не обратил внимание, но когда увидел 6 метровый шланг, очень сильно удивился))))",Шок
619,Nikita,5.7.19,ACC0001265-000, ,MUSIC STORE,5,Excellent quality.,Great cable
620,Sergey,14.12.16,ACC0001265-000, ,MUSIC STORE,5,Качественно и не дорого! Спасибо!,MUSIC STORE Microphone Cable XLR 6m Standard
621,ANDREY,28.5.17,ACC0001265-000, ,MUSIC STORE,5,"Хороший кабель , приемлемая цена, заказывал с микрофоном, покупкой доволен!",Хороший кабель
622,Иван,15.8.18,LIG0015055-000,PARL-45,Leuchtkraft,5,"Очень качественно сделан, надежный, для маленьких площадок отлично подходит, светит ярко. Еще один такой комплект и смело можно осветить танцпол 10 на 10",IMG-STAGELINE-PARL-45
623,igor,2.5.18,LIG0015055-000,PARL-45,Leuchtkraft,5,"Очень хорошее качество, мобильность, яркая подсветка тацпола 10 на 10метров",parl-45
624,Ivan,3.9.20,LIG0015055-000,PARL-45,Leuchtkraft,5,"Беру себе уже второй такой аппарат, так как закоремендовал себя! В использовании прост и понятен. Удобный. Для небольших мероприятий достаточно одного. Рекомендую.",PARL-45
625,Бутин Никита Игоревич,27.12.20,ACC0007900-000, ,Sommer Cable,1,"Товаром полностью недоволен. Из-за непонятной ситуации, один кабель передает сигнал хуже, в связи с этим один студийный монитор тише другого. Как я это выяснил ? Сначала я подумал что один монитор сломан, но затем просто поменял кабели, и ситуация повторилась, но в другую сторону, то есть, монитор который был тише - стал громче, а который был громче, стал тише. Ужасно, я расстроен и не доволен!",Commer Cable HBP-XM6S-0060 XLR-Jack Cable 600mm (Black)
626,Eugeny,11.11.19,SYN0007157-000,Bionic Lester Mark III,Industrial Music Electronics,5,"Very functional and original sounding module. Excellent works with digital sources from IME, but with analog good too. ",Ideal digital filter
627,Georgy,16.10.16,PAH0012150-000,XD-V35,Line 6,5,В соотношении цена/качество-очень гут! Рекомендую попробовать!,Очень неплохо
628,Александр,18.10.19,PAH0012150-000,XD-V35,Line 6,5,"Еще не использовал, но когда выбирал-прям лестные отзывы! Всем рекомендую.", микрофон
629,Darovskih Igor,23.8.19,BLA0001069-000,Classic Alto Sax Reeds 2.5 Box of 10,Vandoren,5,Все превосходно и качественно.,Отзыв
630,Denis Kravtsov,22.11.15,GIT0018835-000V000192651,Powerball II E645/2 Head,Engl,5,"Данная бошка у меня уже больше года. Брал попробовать и не рассчитывал что она у меня задержится, но вот как-то так получилось, что желания продавать ее у меня нету никакого.Пройдемся по приятгным особенностям - у головы 4 канала и 2 отдельных мастера(что очень удобно). Первый канал - ничем особо не примечательный клин, он добротен, звучит очень качественно(вполне можно сыграть какую-нить метал-балладу), но если вам нужна голова только для клина - это не то что вам надо. Второй канал - кранч, вполне себе такой годный кранч скажу я вам, но все таки слышал я кранчи и получше, но с другой стороны - кранч и клин не то для чего нужен этот монстр. Третий и четвертый канал - это ради чего стоит попробовать эту голову. Этим каналам не нужен Скриммер, тут уже сразу готовый звук вам остается только получать удовольствие от мощи и жира, воткните свой леспол, эклипс или что-нить краснушное в бошку с кабинетом 4х12 на Vintage 30 и получайте душевный оргазм.Внешний вид у второй модели пожалуй похуже чем у первой - все таки зеркальная панель смотрится красиво, но на звуке это никак не отражается. В общем если вам нужна голова на 6l6 для стилей от hard-rock'a до самого беспощадного и брутального металла - то это вполне может оказаться именно то что вам надо. ",Отличная Хайген бошка.
631,Вячеслав,16.3.21,BAS0010035-000,Baphomet II 5 (Natural),Fame,5,"Имея 5-стр джаз FGN - клон Фендера, хотелось чего-нибудь совершенно иного -  из другого дерева, что-то типа Warwick, Spector, желательно со сквозным грифом и активными хамбакерами. Но и с привинченным грифом и активными синглами и преампом от Warwick я получил именно то, чего хотел - отличный урчащий и звонкий звук, не хуже, а то и лучше Ворвика, в Ля просто мясо, ровный гриф, высота над 12 ладом у 5 струны 3 мм (5 Ля, 1 Фа, 130-45 похоже), бас легкий и очень удобный, не перевешивает при игре и сидя и стоя, не съезжает с ноги. Расстояние между струнами меньше, чем у FGN: для слэпа возможно чуть хуже, но для всего остального лучше. Дизайн шикарный - похож на медовик, так и хочется его съесть. Из коробки шел с новенькими струнами, мелочь, а приятно. Стреплоки. Тряпочка для протирки и ключи. Теплый чехол. Из минусов - на накладке с торца есть черный сучок диаметром 1 мм и ещё в одном месте в районе 22 лада что-то типа сучка. И некоторые боковые точки больше похожи не на перламутр, а на клей или эпоксидку или типа того. О небольших косметических недочетах сказано в инструкции. Бридж на 2 и 3 струнах недостаточно позволяет настроить мензуру, чтобы ноты не были ниже флажолета, возможно проблема в струнах, ещё не менял. Дребезжит анкер при некоторых нотах, но у FGN дребезжит так же на тех же нотах. С сустейном на первой струне дело обстоит так же как и у FGN, нормально - не плохо, но и не поражает воображение.За свои деньги для меня бас однозначно лучший, даже лучше FGN. Особенно, если не хочется азиатского производства.",Шик
632,Dj Pomortsev,21.3.18,DJE0003931-000, ,Magma,5,"Слабо скользит, но думаю это наверно плюс, со временем чуть разработается, будет хорошо. Да, в комплекте 2 шт. ",В комплекте 2 шт!!!!
633,Илья,13.10.21,LIG0012406-000,Half Coupler Small black 32-35/30/75kg,Global Truss,5,Хорошее качество,Круто
634,Dmitry Maslov,2.10.16,ACC0007123-000,Custom Shop Baseball Hat schwarz,Fender,5,Excellent goods!!!! Highly recommend!!!,Excellent goods!!!!
635,Vladimir Kudryavtsev,27.7.16,REC0004066-000V000196507,DB 039 Monitorständer höhenverstellbar 740-1110mm,Fame Audio,5,"Отличные стойки, за отличную цену, у себя в городе я не смог найти дешевле и качественнее продукта, чем этот!Конструкция очень прочная! Высота регулировки очень вариативная, можно приспособить к любой домашней студии, думаю в проф студии они тоже не будут лишними.Думал китайское барахло, а оказалось очень качественный заводской продукт!В комплекте крепеж и приспособления присутствуют.Минусом бы назвал только отсутствие инструкции как таковой, но их сборка не занимает и 5 минут, по этому видимо ее и нет :) Три детальки, два болтика, все просто.","Стойки, что с них взять? :)"
636,ZenOneem,2.6.17,REC0004066-000V000196507,DB 039 Monitorständer höhenverstellbar 740-1110mm,Fame Audio,5,"Отличные стойки, для своей стоимости. Покрашены добротно, платформа сварена аккуратно, треугольник довольно большой и обеспечивает отличную устойчивость. Ножки в основании регулируются и есть вариант установки пластиковых плоских ножек или металлических шпилек, что крайне удобно. Собрать комплект можно за 5 минут, хотя в комплекте нет инструкции, за что 4 звезды. Также есть претензия к упаковке, из нее выпали все крепежные элементы, и рассыпались по всей посылке, мне очень повезло, что ничего не потерялось. На стойках стоят JBL LSR 305, нареканий нет. Рекомендую. Соотношение цена-качество просто запредельное. ",Нереальные стойки для своей стоимости
637,Идеальные стойки,3.10.19,REC0004066-000V000196507,DB 039 Monitorständer höhenverstellbar 740-1110mm,Fame Audio,5,"Надежные, крепкие, тяжёлые, с широкой регулировкой по высоте. Очень устойчивые. Треугольник в основании можно устанавливать на входящие в комплект пластиковые плоские ножки, либо на металлические шпильки, если у вас на полу постелен толстый ковролин.",Fame Audio DB 039 Monitor Stand adjustable 930-1370mm
638,Vladimir Gubin,13.12.16,REC0004066-000V000196507,DB 039 Monitorständer höhenverstellbar 740-1110mm,Fame Audio,3,"Качественный и удобный товар, в работе очень надёжен. Но заказав две стойки, я получил только один набор креплений. Одну стойку удалось собрать и протестировать, вторая же лежит без дела. Возможно ошибка была на складе или у производителя. Представители music store так и не дают ответа вот уже несколько дней. В целом рекомендую, но при получении осматривайте всё сразу же на почте очень внимательно!","Хороший товар, но пришел не полный комплект."
639,MAStaKilla,12.1.18,REC0004066-000V000196507,DB 039 Monitorständer höhenverstellbar 740-1110mm,Fame Audio,5,"Отличные стенды для своей цены. берите не пожалеете. Единственный минус для меня, это слишком крупный треугольник в основании.  Из плюсов: регулировка по высоте, прочность, сменные ножки (пики/плюшки), легкость сборки. Берите не пожалеете.",Fame Stand
640,Alexandr Bredykhin,23.2.17,GIT0036558-000V000195879,Blues Junior Lacquered Tweed,Fender,5," Someone said to him, ""Little amplifier with great sound."" If you want a real Fender sound of the Blues Junior is a good choice for small money. Compact enough for transportation. It can be played as a quiet, such as home and loudly, for example in the studio. 15-watt amplifier that I have enough to beat the drums. There were no problems for a year of use. On the Internet a lot of information for the modernization of the amplifier, but I like the sound of his stock. Fender strat and Blues Junior made for each other. The only drawback: the delicate lacquered tweed on, must be carefully transported without hitting)))",Little amplifier with great sound.
641,Alex,10.8.18,GIT0036558-000V000195879,Blues Junior Lacquered Tweed,Fender,5,"В паре со стратом тот самый звук фанка, попа, блюза и пр. Громкость позволяет играть дома, никакого дискомфорта. Ревер, на мой вукс, не катит. Он классный, но время затухания слишком большое, при чесе получается больше дрон, чем ревер. Надо поменять на ревер танк с более коротким временем затухания. Педали-медали в аппарат звучат очень круто. Признаться я не ожидал, что звук будем сразу тем самым. Расположение ручек вверх ногами бесит, за это снял бал. А в остальном 100 из 100.",Тот самый звук.
642,Олег,3.10.19,DRU0001237-000,"7AN Sticks, American Classic, Nylon Tip",Vic-Firth,5,"Крепкие, не убиваемые с идеальным балансом.",Vic-Firth 7AN Sticks
643,Andrey Sozinov,3.2.16,GIT0027512-000,Electric guitar V-200 S Skeleton,J & D,5,"High quality, price/quality/sound - 5",Very good for non-proffesional user
644,Aleksandr,1.6.17,DJE0006003-000, ,Reloop,5,"лучший контролер для djay pro, то что нужно для поездки или небольшого выступления в другом городе, или просто что бы быть налегке.",Отличный мобильный контроллер
645,Dmitry,22.9.19,DJE0006003-000, ,Reloop,4,Оказалось работает только с виртуалом от 8 версии. Теперь и это решать.,непонятно как привязать к виртуалу
646,Игорь,8.12.20,GIT0002365-000,Z-4 Footswitch - Dual Amplifie r Footswitch  ,Engl,5,Банальный футсвич коих для аппарата модели е635 нужно два- для петли и переключения а-в. Дороговат конечно,Футсвич для Engl fireball
